date,day1,day2,day3,day4,tots,pricelevel,windspd,cold,rainy
920102,0,0,0,1,4109,1.2445951,2.813411,0,0
920103,0,0,0,0,7222,1.359375,2.4567361,0,0
920106,1,0,0,0,11224,1.4912159,3.3141861,0,0
920107,0,1,0,0,3370,1.64375,3.344039,1,0
920108,0,0,1,0,3470,1.487097,3.0365541,1,0
920109,0,0,0,1,13607,1.3271739,2.813411,1,0
920110,0,0,0,0,5260,1.2539999,2.650892,0,1
920113,1,0,0,0,11930,0.93023252,2.908721,0,0
920114,0,1,0,0,5590,0.8568182,2.813411,0,0
920115,0,0,1,0,2270,1.266667,2.9957321,1,1
920116,0,0,0,1,4690,1.1875,3.1135149,1,0
920117,0,0,0,0,1283,1.166667,3.2188759,1,1
920120,1,0,0,0,580,1.035714,3.0757749,1,0
920121,0,1,0,0,1550,1.24375,3.0757749,1,1
920122,0,0,1,0,4410,0.93947369,2.908721,1,0
920123,0,0,0,1,9909,0.64285707,2.70805,0,0
920124,0,0,0,0,11140,0.46304351,2.862201,0,1
920127,1,0,0,0,4289,0.47749999,3.1135149,1,1
920128,0,1,0,0,5548,0.4852941,2.862201,1,0
920129,0,0,1,0,3445,0.59545457,2.813411,1,0
920130,0,0,0,1,6151,0.57499999,2.650892,1,0
920131,0,0,0,0,4525,0.57173908,2.650892,0,0
920203,1,0,0,0,8250,0.65454543,3.2516661,1,0
920204,0,1,0,0,1860,0.46153849,3.2834139,1,0
920205,0,0,1,0,1280,0.81538463,3.0757749,1,0
920206,0,0,0,1,4855,1.468421,3.0757749,1,0
920207,0,0,0,0,8089,1.416216,2.9531729,1,0
920210,1,0,0,0,6275,1.38125,3.0365541,1,0
920211,0,1,0,0,2680,1.5442311,2.9531729,1,0
920212,0,0,1,0,5390,1.221429,2.908721,1,0
920213,0,0,0,1,8400,0.99285722,2.862201,1,0
920214,0,0,0,0,13708,0.62222219,2.862201,1,0
920218,0,1,0,0,17555,0.46250001,2.862201,1,0
920219,0,0,1,0,3474,0.33461541,2.813411,0,0
920220,0,0,0,1,5870,0.4230769,2.70805,0,0
920221,0,0,0,0,8390,0.55000001,2.7621169,0,0
920224,1,0,0,0,4340,0.56666672,2.5257289,1,0
920225,0,1,0,0,2100,0.46250001,2.5902669,1,0
920226,0,0,1,0,2575,0.76153839,2.862201,1,0
920227,0,0,0,1,2850,1.203125,2.9531729,1,1
920228,0,0,0,0,6190,1.229687,2.908721,0,0
920302,1,0,0,0,5635,1.076923,2.908721,0,0
920303,0,1,0,0,6730,0.99285722,2.908721,1,0
920304,0,0,1,0,8055,0.77499998,2.7621169,0,0
920305,0,0,0,1,10135,0.78939402,2.650892,0,0
920306,0,0,0,0,5263,0.61578947,2.5902669,0,0
920309,1,0,0,0,21620,0.44400001,2.862201,0,0
920310,0,1,0,0,9685,0.62,2.813411,0,0
920311,0,0,1,0,3350,0.79444438,2.7621169,1,0
920312,0,0,0,1,11015,0.74916673,3.0757749,1,1
920313,0,0,0,0,3030,0.71111113,3.2834139,1,0
920316,1,0,0,0,15520,0.61799997,2.862201,1,0
920317,0,1,0,0,9590,0.55892849,2.813411,1,0
920318,0,0,1,0,1705,0.96363628,2.908721,1,0
920319,0,0,0,1,5510,1.0775,2.813411,1,0
920320,0,0,0,0,7347,0.59047621,3.0757749,1,1
920323,1,0,0,0,2585,0.89375001,2.5902669,1,0
920324,0,1,0,0,3745,0.78846163,2.7621169,1,0
920325,0,0,1,0,2940,0.65416658,2.7621169,1,0
920326,0,0,0,1,12140,0.61704552,2.862201,0,0
920327,0,0,0,0,2295,0.82499999,2.862201,0,0
920330,1,0,0,0,2220,1.2,3.401197,0,0
920331,0,1,0,0,1112,1.333333,3.184974,0,0
920401,0,0,1,0,4940,0.82916671,2.9531729,0,1
920402,0,0,0,1,11310,0.64375001,2.5902669,0,0
920403,0,0,0,0,14480,0.56666672,2.862201,1,1
920406,1,0,0,0,7727,0.67884612,2.813411,0,0
920407,0,1,0,0,1465,0.60000002,2.70805,0,0
920408,0,0,1,0,12280,0.54068959,2.70805,0,0
920409,0,0,0,1,6250,0.6786207,2.650892,0,0
920410,0,0,0,0,5350,0.68958342,2.650892,0,0
920413,1,0,0,0,5535,0.73333329,2.862201,1,0
920414,0,1,0,0,2260,0.70454538,2.9957321,0,0
920415,0,0,1,0,490,0.80000001,2.7621169,0,0
920416,0,0,0,1,9655,0.73205131,2.5257289,0,0
920417,0,0,0,0,6050,0.79782611,2.4567361,0,1
920421,0,1,0,0,10494,0.75256407,2.5902669,0,0
920422,0,0,1,0,4118,0.9074074,2.5257289,0,0
920423,0,0,0,1,5910,0.86769241,2.650892,0,1
920424,0,0,0,0,15455,0.5848276,2.650892,0,0
920427,1,0,0,0,5060,0.63148153,2.650892,0,0
920428,0,1,0,0,3300,0.61470592,2.5902669,0,0
920429,0,0,1,0,5785,0.4675,2.5257289,0,0
920430,0,0,0,1,9050,0.40937501,2.5257289,0,0
920501,0,0,0,0,8520,0.33030301,2.5257289,0,0
920504,1,0,0,0,6260,0.44999999,2.862201,0,0
920505,0,1,0,0,1290,0.91666663,2.908721,0,0
920506,0,0,1,0,1450,1.203125,2.862201,0,0
920507,0,0,0,1,4780,1.25,2.813411,0,0
920508,0,0,0,0,3420,1.752632,2.862201,0,0
